ICAO,name,CMX,bpt_file,lw_rule,num_built,active,year_introduced,year_last_produced,year_retired,manufacturer,country,length,wingspan,wingspan_swept_folded,lw_rule2,engine_type,engine_position,num_engines,description,wing_position,wing_shape,wingtip_tanks,winglets,canards,amphibious,awacs,twin_boom,tail_position,num_tail_fins,Notes,bpt_file2
BE50,"50 Twin Bonanza, L-23D, U-8D Seminole",X,U-8D.png,AC2,975,True,1951,1961,,BEECH,USA,9.61,13.81,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
BE56,"55 Baron, 56 Turbo Baron, T-42A",X,BE56_3D.jpg,AC2,3651,True,1961,,,BEECH,USA,8.31,11.53,,,prop,['wings'],2,L2T,low,straight,False,False,False,False,False,False,fuselage,1,,
BE58,58 Baron,C,BE58_3D.jpg,AC2,2770,True,1969,,,BEECH,USA,9.09,11.53,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
BE60,60 Duke,C,BE60_3D.jpg,AC2,596,True,1968,1983,,BEECH,USA,10.3,12,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
BE65,"65 Queen Air, L-23F, U-8F Seminole",X,Beechcraft_L-23F_Seminole_s4h.png,AC0,387,True,1960,1970,,BEECH,USA,10.1,13.98,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
BE65A,"A65, 80 Queen Air",C,Beechcraft_A65-80_r13_s10h.png,AC2,244,True,1962,1977,,BEECH,USA,10.74,13.98,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
BE76,76 Duchess,C,BE76_3D.jpg,AC2,437,True,1978,1983,,BEECH,USA,8.9,11.6,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,T-tail,1,,
BE77,77 Skipper,C,beechcraft_model_77_skipper.jpg,AC0,312,True,1979,1983,,BEECH,USA,7.3,9.1,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,T-tail,1,,
BE80,"70, A80, B80, 88 Queen Air",C,beech-model-65-70-80-88-queen-air_s12h.jpg,AC2,445,True,1962,1977,,BEECH,USA,10.82,15.32,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
BE99,99 Airliner,C,beech_99.png,AC2,62,True,1966,1987,,BEECH,USA,13.6,14,,,prop,['wings'],2,L2T,low,straight,False,False,False,False,False,False,fuselage,1,,
